Feature/Product	Frequency on Database	Class(1:essential 2:noessential)
glk	1	2
yihX	1	2
yihR	1	2
bglB	1	2
pgi	1	2
yeaD	1	2
crr	1	2
pgm	1	2
fbp	1	2
pfkA	1	2
fbaA	1	1
tpiA	1	2
gapA	1	1
pgk	1	1
gpmA	1	2
eno	1	1
aceE	1	2
aceF	1	2
lpd	1	2
pykA	1	2
ascF	1	2
pck	1	2
acs	1	2
ytjC	1	2
aldB	1	2
yiaY	1	2
eutG	1	2
gltA	1	2
acnA	1	2
icd	1	2
mdh	1	2
fumB	1	2
mqo	1	2
frdA	1	2
sdhB	1	2
sucD	1	2
sucA	1	2
sucB	1	2
phnN	1	2
prs	1	1
tktA	1	2
deoC	1	2
kdgK	1	2
idnK	1	2
ghrB	1	2
gcd	1	2
talA	1	2
gnd	1	2
edd	1	2
pgl	1	2
zwf	1	2
eda	1	2
rpe	1	2
rpiB	1	2
rbsK	1	2
deoB	1	2
kduD	1	2
uxaA	1	2
uxaC	1	2
uxaB	1	2
kduI	1	2
uxuB	1	2
uxuA	1	2
uidA	1	2
wcaN	1	2
ugd	1	2
lyxK	1	2
yiaK	1	2
ulaD	1	2
araA	1	2
araB	1	2
ulaF	1	2
ulaE	1	2
rspB	1	2
rhaB	1	2
rhaD	1	2
xylB	1	2
xylA	1	2
yjhG	1	2
yjhH	1	2
fruK	1	2
srlD	1	2
srlB	1	2
alsE	1	2
yggP	1	2
alsK	1	2
manZ	1	2
manA	1	2
cpsG	1	2
cpsB	1	2
gmd	1	2
mtlD	1	2
wcaG	1	2
mak	1	2
fucK	1	2
fucI	1	2
rhmA	1	2
fucA	1	2
rhmD	1	2
rhaA	1	2
fruB	1	2
mtlA	1	2
galK	1	2
gatD	1	2
lacZ	1	2
ebgC	1	2
galE	1	2
melA	1	2
galT	1	2
malZ	1	2
sgcB	1	2
glf	1	2
kbaY	1	2
dgoA	1	2
agaD	1	2
agaI	1	2
dgoK	1	2
dgoD	1	2
gudD	1	2
garL	1	2
ulaC	1	2
ulaG	1	2
garD	1	2
fabF	1	2
fabB	1	1
fabG	1	1
fabI	1	1
fabH	1	2
fabZ	1	1
fabA	1	1
fabD	1	1
accC	1	1
fadD	1	2
fadB	1	2
yqeF	1	2
fadA	1	2
fadE	1	2
menC	1	2
menE	1	2
ubiC	1	2
menF	1	2
menA	1	2
ubiE	1	2
ubiH	1	2
menD	1	2
menH	1	2
ubiD	1	2
ubiA	1	1
ubiG	1	2
qorB	1	2
menB	1	2
ubiF	1	2
atpB	1	2
ppa	1	1
ppk	1	2
argE	1	2
argG	1	2
argI	1	2
alaA	1	2
glnA	1	2
yqeA	1	2
argH	1	2
aspC	1	2
argD	1	2
glsB	1	2
gdhA	1	2
argA	1	2
argB	1	2
argC	1	2
guaB	1	2
gsk	1	2
deoD	1	2
hpt	1	2
yjjG	1	2
ndk	1	2
cyaA	1	2
purA	1	2
purB	1	2
adk	1	1
cpdB	1	2
add	1	2
ygdH	1	2
rihB	1	2
apt	1	2
xapA	1	2
gpt	1	2
xdhC	1	2
guaD	1	2
purM	1	2
purK	1	2
purC	1	2
purE	1	2
nudE	1	2
nudF	1	2
cpdA	1	2
allC	1	2
allD	1	2
allA	1	2
rdgB	1	2
guaA	1	2
mazG	1	2
rpoC	1	1
purF	1	2
purD	1	2
purN	1	2
purL	1	2
nrdF	1	2
guaC	1	2
spoT	1	1
purH	1	2
pnp	1	2
cysD	1	2
cysC	1	2
nrdD	1	2
holD	1	2
dgt	1	2
gmk	1	1
allB	1	2
gpp	1	2
cmk	1	2
udk	1	2
pyrG	1	1
dcd	1	2
dut	1	1
tmk	1	1
thyA	1	2
tdk	1	2
yaiE	1	2
cdd	1	2
deoA	1	2
preA	1	2
codA	1	2
hyuA	1	2
pyrE	1	2
carB	1	2
pyrB	1	2
rutA	1	2
rutB	1	2
rutC	1	2
udp	1	2
rutD	1	2
ydfG	1	2
rutE	1	2
upp	1	2
pyrC	1	2
psuG	1	2
pyrD	1	2
pyrF	1	2
pyrH	1	1
yfbR	1	2
psuK	1	2
gadA	1	2
asnB	1	2
putA	1	2
asnA	1	2
gabT	1	2
ansB	1	2
gabD	1	2
nadB	1	2
sad	1	2
yafV	1	2
gltD	1	2
aspA	1	2
glmS	1	1
dsdA	1	2
ilvA	1	2
glyA	1	2
gcvT	1	2
serB	1	2
tdcG	1	2
betA	1	2
betB	1	2
gcvP	1	2
tdh	1	2
kbl	1	2
ltaE	1	2
thrC	1	2
serC	1	2
thrB	1	2
metL	1	2
asd	1	1
serA	1	2
lysC	1	2
garK	1	2
pssA	1	1
trpB	1	2
tynA	1	2
dapB	1	1
dapA	1	1
cysE	1	2
cysM	1	2
metH	1	2
msrC	1	2
metK	1	1
tyrB	1	2
mmuM	1	2
metC	1	2
metB	1	2
sseA	1	2
dcyD	1	2
metE	1	2
luxS	1	2
metA	1	2
mtn	1	2
ilvE	1	2
gshA	1	2
gshB	1	2
dcm	1	2
speD	1	2
speE	1	2
scpA	1	2
ilvD	1	2
ilvC	1	2
ilvM	1	2
leuA	1	2
leuC	1	2
leuB	1	2
avtA	1	2
dapF	1	2
murE	1	1
lysA	1	2
dapE	1	1
murF	1	1
dapD	1	1
cadA	1	2
atoA	1	2
adiA	1	2
speB	1	2
speG	1	2
patA	1	2
proA	1	2
proB	1	2
puuB	1	2
puuC	1	2
speC	1	2
proC	1	2
puuA	1	2
astA	1	2
puuD	1	2
patD	1	2
astE	1	2
astD	1	2
astC	1	2
astB	1	2
hisI	1	2
hisA	1	2
hisC	1	2
hisB	1	2
hisD	1	2
hisG	1	2
mhpC	1	2
mhpE	1	2
feaB	1	2
paaK	1	2
katG	1	2
paaE	1	2
paaG	1	2
paaZ	1	2
hcaB	1	2
hcaD	1	2
paaJ	1	2
mhpA	1	2
paaF	1	2
mhpB	1	2
paaH	1	2
paaI	1	2
mhpD	1	2
mhpF	1	2
dadA	1	2
ysgA	1	2
tnaA	1	2
pheA	1	2
trpA	1	2
trpC	1	2
aroC	1	2
trpE	1	2
tyrA	1	2
aroB	1	2
aroF	1	2
ydiB	1	2
aroD	1	2
aroE	1	2
aroK	1	2
aroA	1	2
trpD	1	2
panC	1	2
panD	1	2
ggt	1	2
tauD	1	2
pta	1	2
ackA	1	2
phnM	1	2
phnJ	1	2
phnG	1	2
phnP	1	2
selA	1	2
selD	1	2
sufS	1	2
metG	1	1
trxB	1	2
xdhD	1	2
murI	1	1
murD	1	1
murC	1	1
alr	1	2
ddlA	1	2
gss	1	2
pepN	1	2
pepD	1	2
pepB	1	2
pepA	1	2
gor	1	2
yfcF	1	2
btuE	1	2
ycjM	1	2
otsA	1	2
treC	1	2
treB	1	2
treF	1	2
glgX	1	2
bcsA	1	2
glgC	1	2
otsB	1	2
malQ	1	2
glgA	1	2
malS	1	2
glgB	1	2
chbB	1	2
bglX	1	2
murA	1	1
murB	1	1
arnA	1	2
arnC	1	2
arnB	1	2
nagA	1	2
glmM	1	1
nagB	1	2
nanK	1	2
nanE	1	2
chiA	1	2
nagZ	1	2
wecB	1	2
glmU	1	1
nagE	1	2
nagK	1	2
murQ	1	2
wecC	1	2
nanA	1	2
arnD	1	2
