eco:b1780 ['yeaD'] [('NCBI-GeneID', ['946572']), ('NCBI-ProteinID', ['NP_416294']), ('Pasteur', ['yeaD']), ('RegulonDB', ['ECK120003553']), ('ECOCYC', ['G6966']), ('ASAP', ['ABE-0005923']), ('UniProt', ['P39173'])]
eco:b3721 ['bglB'] [('NCBI-GeneID', ['948234']), ('NCBI-ProteinID', ['NP_418177']), ('Pasteur', ['bglB']), ('RegulonDB', ['ECK120000110']), ('ECOCYC', ['EG10114']), ('ASAP', ['ABE-0012169']), ('UniProt', ['P11988'])]
eco:b4025 ['pgi'] [('NCBI-GeneID', ['948535']), ('NCBI-ProteinID', ['NP_418449']), ('Pasteur', ['pgi']), ('RegulonDB', ['ECK120000694']), ('ECOCYC', ['EG10702']), ('ASAP', ['ABE-0013163']), ('UniProt', ['P0A6T1'])]
eco:b2388 ['glk'] [('NCBI-GeneID', ['946858']), ('NCBI-ProteinID', ['NP_416889']), ('Pasteur', ['glk']), ('RegulonDB', ['ECK120002426']), ('ECOCYC', ['EG12957']), ('ASAP', ['ABE-0007875']), ('UniProt', ['P0A6V8'])]
eco:b2417 ['crr'] [('NCBI-GeneID', ['946880']), ('NCBI-ProteinID', ['NP_416912']), ('Pasteur', ['crr']), ('RegulonDB', ['ECK120000161']), ('ECOCYC', ['EG10165']), ('ASAP', ['ABE-0007971']), ('UniProt', ['P69783'])]
eco:b0688 ['pgm'] [('NCBI-GeneID', ['945271']), ('NCBI-ProteinID', ['NP_415214']), ('Pasteur', ['pgm']), ('RegulonDB', ['ECK120002045']), ('ECOCYC', ['EG12144']), ('ASAP', ['ABE-0002345']), ('UniProt', ['P36938'])]
eco:b4232 ['fbp'] [('NCBI-GeneID', ['948753']), ('NCBI-ProteinID', ['NP_418653']), ('Pasteur', ['fbp']), ('RegulonDB', ['ECK120000277']), ('ECOCYC', ['EG10283']), ('ASAP', ['ABE-0013842']), ('UniProt', ['P0A993'])]
eco:b3916 ['pfkA'] [('NCBI-GeneID', ['948412']), ('NCBI-ProteinID', ['NP_418351']), ('Pasteur', ['pfkA']), ('RegulonDB', ['ECK120000691']), ('ECOCYC', ['EG10699']), ('ASAP', ['ABE-0012789']), ('UniProt', ['P0A796'])]
eco:b2925 ['fbaA'] [('NCBI-GeneID', ['947415']), ('NCBI-ProteinID', ['NP_417400']), ('Pasteur', ['fbaA']), ('RegulonDB', ['ECK120000276']), ('ECOCYC', ['EG10282']), ('ASAP', ['ABE-0009600']), ('UniProt', ['P0AB71'])]
eco:b3919 ['tpiA'] [('NCBI-GeneID', ['948409']), ('NCBI-ProteinID', ['NP_418354']), ('Pasteur', ['tpiA']), ('RegulonDB', ['ECK120001004']), ('ECOCYC', ['EG11015']), ('ASAP', ['ABE-0012799']), ('UniProt', ['P0A858'])]
eco:b1779 ['gapA'] [('NCBI-GeneID', ['947679']), ('NCBI-ProteinID', ['NP_416293']), ('Pasteur', ['gapA']), ('RegulonDB', ['ECK120000360']), ('ECOCYC', ['EG10367']), ('ASAP', ['ABE-0005920']), ('UniProt', ['P0A9B2'])]
eco:b2926 ['pgk'] [('NCBI-GeneID', ['947414']), ('NCBI-ProteinID', ['NP_417401']), ('Pasteur', ['pgk']), ('RegulonDB', ['ECK120000695']), ('ECOCYC', ['EG10703']), ('ASAP', ['ABE-0009605']), ('UniProt', ['P0A799'])]
