,ec,in_degree,out_degree,eigenvector_centrality,closeness centrality,Betweenness centrality,pagerank,hits,class
0,eco:b2388,0.00995575221238938,0.007743362831858407,0.00012413056309886744,0.09508555018542567,0.0013834878289593895,0.0022137628654536655,7.629744248510481e-06,2
1,eco:b3885,0.007743362831858407,0.007743362831858407,3.977599847377675e-05,0.0890248564767229,0.000869486754612761,0.0019390579352516896,4.025263915841705e-06,2
2,eco:b3879,0.00663716814159292,0.007743362831858407,6.791014869554935e-05,0.0928383289107332,0.003402752572914555,0.0020627351409266523,7.661352897684465e-06,2
3,eco:b3721,0.0,0.004424778761061947,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,4.858945726232291e-06,2
4,eco:b4025,0.015486725663716814,0.015486725663716814,0.0006916454777640051,0.10243081595920203,0.003578437641906061,0.002624503802186676,7.437833261078063e-05,2
5,eco:b1780,0.004424778761061947,0.004424778761061947,6.393536973292547e-05,0.08968542904190406,2.2174150345710936e-05,0.0008733861720687729,6.806137788688871e-06,2
6,eco:b2417,0.0055309734513274336,0.0022123893805309734,7.07665940217263e-05,0.08869820586024042,0.0004221920736081365,0.001027651431498717,6.039382363493102e-06,2
7,eco:b0688,0.012168141592920354,0.0165929203539823,0.0003485107028783995,0.10213121331258754,0.014646869419187367,0.0024493651014751198,4.518216579378803e-05,2
8,eco:b4232,0.01327433628318584,0.011061946902654867,0.0025931193942175385,0.11704199007926698,0.014139652977267509,0.002384592296603576,0.0003050057807304307,2
9,eco:b3916,0.015486725663716814,0.014380530973451327,0.004130266679625345,0.1171729095312572,0.029167488769477796,0.002783089555299255,0.000537204069577882,2
10,eco:b2925,0.017699115044247787,0.018805309734513276,0.034885020815625147,0.1338406062022282,0.04552585780531024,0.0027774406890244516,0.004374267805180764,1
11,eco:b3919,0.01327433628318584,0.014380530973451327,0.03431622320644923,0.13007356927269528,0.008085696685061995,0.001933161371082185,0.0043154302203859815,2
12,eco:b1779,0.008849557522123894,0.008849557522123894,0.03148541663737121,0.12785099404509023,0.002580436933054217,0.001340091627703174,0.003912769044058915,1
13,eco:b2926,0.004424778761061947,0.004424778761061947,0.0018816391600958706,0.10581068800095347,0.0014852909080560349,0.0010617853723357386,0.00024184107635669076,1
14,eco:b0755,0.0055309734513274336,0.0055309734513274336,0.0012996573245528914,0.10674515739226625,0.0008471891366205147,0.0012899621368933063,0.00018666485495149763,2
15,eco:b2779,0.00663716814159292,0.00663716814159292,0.01647939398357141,0.1260560542971648,0.0037969691258811877,0.001133907257390987,0.0018862149043671402,1
16,eco:b0114,0.02986725663716814,0.0055309734513274336,0.22241525415272329,0.1459627233454862,0.011273413051650619,0.004694731787048484,0.0018626551660647257,2
17,eco:b0115,0.012168141592920354,0.015486725663716814,0.047596172671818406,0.12040526565625741,0.0012002428603869754,0.0016277500164228284,0.008005999253736419,2
18,eco:b0116,0.0,0.004424778761061947,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,0.0019248866408433161,2
19,eco:b1854,0.04314159292035398,0.03871681415929203,0.2183872967485095,0.15247828401884125,0.09018651290902724,0.0053042133146046395,0.03229637403660629,2
20,eco:b2715,0.0011061946902654867,0.0,5.546065732802581e-26,0.0011061946902654867,0.0,0.0003059063400869099,0.0,2
21,eco:b3403,0.007743362831858407,0.00331858407079646,0.0176078105042316,0.13137865525202,0.0022730235213353584,0.0012017214923667108,0.00023057067807758267,2
22,eco:b4069,0.017699115044247787,0.023230088495575223,0.052833892917571304,0.12054382177323814,0.0023901370289002716,0.002696288649671975,0.008496092121689685,2
23,eco:b4395,0.0055309734513274336,0.0055309734513274336,0.0012996573245528914,0.10674515739226625,0.0008471891366205147,0.0012899621368933063,0.00018666485495149763,2
24,eco:b3588,0.00995575221238938,0.0055309734513274336,0.014336220002731095,0.11448369521414638,0.002048668839240803,0.0024680555908155803,0.0004998473318762343,2
25,eco:b3589,0.004424778761061947,0.004424778761061947,0.001205028257596531,0.09619153454632133,6.62095118626445e-07,0.0012347896677918457,0.0003596792415777329,2
26,eco:b2453,0.004424778761061947,0.004424778761061947,0.001205028257596531,0.09619153454632133,6.62095118626445e-07,0.0012347896677918457,0.0003596792415777329,2
27,eco:b0720,0.0,0.007743362831858407,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,0.0007152885438970059,2
28,eco:b1276,0.0022123893805309734,0.0011061946902654867,1.0828033097376477e-25,0.0022123893805309734,2.4500436107762717e-06,0.00032582124925176876,0.00015747527244780983,2
29,eco:b1136,0.0,0.0055309734513274336,2.6409836822869435e-27,0.0,0.0,0.00025228927695075155,0.0003695658846662888,2
30,eco:b3236,0.012168141592920354,0.00995575221238938,0.036289441555420236,0.12932417422338757,0.0037656989860870545,0.00193849458245662,0.004776446304163367,2
31,eco:b4122,0.00995575221238938,0.008849557522123894,0.03293819579481479,0.12490371357823205,0.006554881550571657,0.0015994636763710715,0.0043357465904124756,2
32,eco:b2210,0.008849557522123894,0.011061946902654867,0.03370641330266894,0.12460655962047257,0.0019502602264654875,0.0015809249329301045,0.0046591308400361605,2
33,eco:b4154,0.008849557522123894,0.00995575221238938,0.0027525651849147014,0.10851441414462425,0.0011727842040228462,0.0015428071265245397,0.00047971768647849357,2
34,eco:b0724,0.008849557522123894,0.00995575221238938,0.002752565184914702,0.10851441414462425,0.0011727842040228462,0.0015428071265245397,0.00047971768647849357,2
35,eco:b0729,0.012168141592920354,0.00995575221238938,0.008127074850790752,0.10843952496992128,0.00433572128946489,0.0019122984783437687,0.0009935401552015077,2
36,eco:b0726,0.007743362831858407,0.00995575221238938,0.016271885657361547,0.12348044925848009,0.009443917990068185,0.002306448359874626,0.0021272076261965775,2
37,eco:b0727,0.008849557522123894,0.0055309734513274336,0.010991028333518178,0.10885269946755519,0.0019286299462403607,0.0013423285205944634,0.0011003464000561881,2
38,eco:b4094,0.00331858407079646,0.0011061946902654867,2.007958296452776e-06,0.07572475743682695,0.000667636883936534,0.0006032431416633961,3.437774306553653e-08,2
39,eco:b1207,0.008849557522123894,0.0022123893805309734,0.0003152928776529701,0.1106411971579604,0.0002224098344508651,0.0015283948766943117,3.5387776709080252e-06,1
