Feature/Product	Frequency on Database	Class(1:essential 2:noessential)
lptA	1	2
glyQ	1	1
fmt	1	1
hemF	1	1
trpA	1	2
trpB	1	2
nuh	1	2
pcaG	1	2
pntB	1	2
pcaF	1	2
pcaB	1	2
pobA	1	2
gabD	1	2
aguA	1	2
aguB	1	2
spuC	1	2
serA	1	2
rpiA	1	1
thyA	1	1
folA	1	1
ilvD	1	2
coaD	1	1
thiG	1	2
metX	1	2
proC	1	2
pyrB	1	2
gshB	1	2
pilH	1	2
pilK	1	2
chpB	1	2
bioA	1	2
metF	1	2
sahH	1	2
codA	1	2
dht	1	2
gcdH	1	2
creB	1	2
creC	1	2
glcB	1	2
bioB	1	2
bioF	1	2
bioD	1	2
nirM	1	2
nirS	1	2
norB	1	2
metK	1	2
tktA	1	1
epd	1	1
pgk	1	2
fda	1	1
folB	1	1
rpe	1	1
trpD	1	2
trpC	1	2
vfr	1	2
hemO	1	2
nadB	1	2
pdxJ	1	1
putA	1	2
prpD	1	2
prpC	1	2
prpB	1	2
pta	1	2
ackA	1	2
trxB2	1	2
hpd	1	2
phhB	1	2
phhA	1	2
aruC	1	2
aruG	1	2
aruD	1	2
aruB	1	2
aruE	1	2
alaS	1	1
lysC	1	1
rsmA	1	2
ldhA	1	2
gacS	1	2
cysM	1	2
purM	1	2
proS	1	1
oprD	1	2
aspS	1	1
pqsA	1	2
pqsB	1	2
pqsC	1	2
pqsD	1	2
pqsE	1	2
phnA	1	2
phnB	1	2
mvfR	1	2
nadA	1	2
purC	1	2
pdxH	1	2
fliC	1	2
fleQ	1	2
fleS	1	2
fleR	1	2
rhlC	1	2
dapE	1	1
napA	1	2
phoP	1	2
phoQ	1	2
aprA	1	2
cobB	1	2
cobC	1	2
cobQ	1	2
cobP	1	2
cobU	1	2
cobV	1	2
phnW	1	2
phnX	1	2
cyoE	1	2
ilvA2	1	2
ansB	1	2
ggt	1	2
pdxB	1	1
gbuA	1	2
lasR	1	2
lasI	1	2
fliN	1	2
fliA	1	2
cheY	1	2
cheZ	1	2
cysP	1	2
gcl	1	2
alc	1	2
apt	1	2
ccoQ1	1	2
ccoP2	1	2
ccoO2	1	2
aer	1	2
gltA	1	2
sdhB	1	1
sucA	1	1
sucB	1	1
sucD	1	1
fabB	1	1
fabA	1	1
gpsA	1	2
kdpF	1	2
kdpA	1	2
kdpB	1	2
kdpC	1	2
kdpD	1	2
kdpE	1	2
selD	1	2
aroC	1	1
masA	1	2
exsA	1	2
cysH	1	2
pabB	1	2
ppsA	1	2
nirB	1	2
acnB	1	1
glnS	1	1
cysS	1	1
