Feature/Product	Class(1:essential 2:noessential)
YKL060C	1
YLR377C	0
YOL056W	0
YMR205C	0
YPL281C	0
YDR050C	0
YER178W	0
YJR009C	0
YCR012W	0
YLR134W	0
YOR347C	0
YNL071W	0
YPL017C	0
YOL086C	0
YMR318C	0
YPL061W	0
YLR153C	0
YMR170C	0
YBR196C	1
YBR019C	0
YLR446W	0
YMR278W	0
YMR099C	0
YKR097W	0
YIL125W	0
YNL009W	0
YOL126C	0
YPR001W	0
YGL062W	0
YOR136W	0
YLR304C	0
YPL262W	0
YMR118C	0
YOR142W	0
YDR148C	0
YHR183W	0
YNR034W	0
YDR248C	0
YPR074C	0
YLR354C	0
YNL241C	0
YJL121C	0
YOR095C	1
YCR036W	0
YOL061W	0
YGR194C	0
YLR070C	0
YHR104W	0
YJR159W	0
YJR153W	0
YKL035W	1
YNR073C	0
YER003C	1
YFL045C	0
YLR345W	0
YDL055C	0
YML070W	0
YOL136C	0
YDR009W	0
YIL162W	0
YOL157C	0
YBR018C	0
YER061C	0
YOR221C	0
YKL182W	0
YPL231W	1
YKL055C	0
YOR317W	0
YNR016C	0
YJR019C	0
YJL097W	0
YDL015C	0
YBR159W	0
YLR372W	0
YPL028W	0
YIL160C	0
YGL205W	0
YDR402C	0
YML126C	0
YKR089C	0
YNR019W	0
YMR015C	0
YLR056W	0
YNL280C	0
YHR007C	0
YHR190W	1
YGL001C	0
YGR060W	0
YGL012W	0
YHR072W	1
YLR100W	1
YGR175C	1
YMR202W	0
YML008C	0
YNR041C	0
YML110C	0
YOR125C	0
YGL202W	0
YOL096C	0
YGR255C	0
YDR538W	0
YPL036W	0
YMR267W	0
YPR036W	0
YJL088W	0
YLR027C	0
YMR062C	0
YBR208C	0
YPL111W	0
YLR089C	0
YOL058W	0
YDL215C	0
YHR018C	0
YOL140W	0
YPR035W	0
YOR375C	0
YER069W	0
YJR069C	0
YJL005W	0
YER005W	0
YOR360C	0
YDR454C	0
YLR359W	0
YML035C	0
YPR190C	0
YER170W	0
YJL026W	0
YOR155C	0
YMR120C	0
YBR111C	0
YLR209C	0
YDL238C	0
YKL067W	0
YML022W	0
YDR399W	0
YPR175W	0
YIR032C	0
YMR300C	0
YGL234W	0
YNL141W	0
YOR128C	0
YNL220W	0
YML056C	0
YJR105W	0
YGR061C	0
YIR029W	0
YDR408C	0
YIR027C	0
YAR015W	0
YDR530C	0
YJR010W	0
YMR217W	0
YKL001C	0
YDR305C	0
YJR103W	0
YMR271C	0
YEL021W	0
YLR420W	0
YKL216W	0
YJL130C	0
YJR057W	0
YOR303W	0
YBR252W	1
YKL024C	1
YOR074C	1
YHR128W	0
YNR012W	0
YLR245C	0
YHR144C	0
YDR400W	0
YPR062W	0
YDL171C	0
YMR250W	0
YFL030W	0
YBR006W	0
YLR351C	0
YMR084W	0
YHR037W	0
YPR145W	0
YLR160C	0
YGR019W	0
YIL074C	0
YGR208W	0
YGR155W	0
YLR058C	0
YGL196W	0
YGR205W	0
YCL064C	0
YER086W	0
YGL026C	0
YOR184W	0
YDR232W	0
YHR025W	0
YJR139C	0
YDR158W	0
YER052C	0
YAL012W	0
YER026C	0
YEL046C	0
YMR189W	0
YDR019C	0
YMR226C	0
YCR053W	0
YMR009W	0
YKL069W	0
YLR180W	0
YER091C	0
YOL052C	0
YPL273W	0
YEL038W	0
YPR069C	0
YJR024C	0
YPR118W	0
YGL184C	0
YLR017W	0
YLR303W	0
YOR251C	0
YML082W	0
YNL277W	0
YJR148W	0
YLR146C	0
YER043C	1
YJL101C	0
YOL049W	0
YOR108W	0
YGL009C	0
YMR108W	0
YLR355C	0
YJR016C	0
YCL018W	0
YIL094C	0
YIR034C	0
YNR050C	0
YBR115C	0
YDL182W	0
YJL200C	0
YDR234W	0
YHR109W	0
YJL168C	0
YOR323C	0
YMR020W	0
YHR033W	0
YLR142W	0
YLR438W	0
YKL184W	0
YER023W	1
YCL030C	0
YER055C	0
YFR025C	0
YIL020C	0
YOR202W	0
YIL116W	0
YHR137W	0
YDR242W	0
YDR380W	0
YJR078W	0
YDR428C	0
YLR231C	0
YJR025C	0
YGR088W	0
YJL060W	0
YBL098W	0
YKL211C	0
YPR060C	0
YGL148W	0
YNL316C	0
YDR035W	0
YBR166C	0
YDR127W	0
YDR007W	0
YDR354W	0
YIL145C	0
YLR299W	0
YGR202C	0
YNL130C	0
YGR007W	0
YHR123W	0
YHR106W	0
YGR264C	0
YKL026C	0
YER163C	0
YFR044C	0
YNL229C	0
YPL091W	0
YKL215C	0
YPR184W	0
YMR306W	0
YMR261C	0
YLR258W	0
YEL011W	0
YPR026W	0
YIL099W	0
YOR190W	0
YPL227C	0
YGL027C	0
YNL219C	0
YBL082C	0
YBR110W	0
YLR057W	0
YGR036C	0
YGR227W	0
YOR067C	0
YOR002W	0
YNL048W	0
YGL065C	0
YMR013C	1
YBR229C	0
YBR243C	1
YNR030W	0
YBR015C	0
YJL186W	0
YGL038C	0
YPL053C	0
YER001W	0
YEL058W	1
YDL103C	0
YLR286C	0
YLR308W	0
YNL192W	0
YFL017C	0
YMR165C	0
YOR175C	0
YDR284C	0
YNR008W	0
YMR313C	0
YKL094W	0
YIL053W	0
YHL032C	0
YOR245C	0
YOR120W	0
YKR067W	0
YHR046C	0
YPR113W	0
YJR110W	0
YDR173C	0
YPL268W	0
YKL212W	0
YDR208W	0
YFR019W	0
YLR240W	0
YOL065C	0
YOR109W	0
YDR315C	0
YNL267W	0
YJL153C	0
YBR004C	0
YGL142C	0
YDR437W	0
YCL052C	1
YDR434W	1
YDR302W	0
YPL076W	0
YJR013W	0
YMR281W	1
YJL132W	0
YJL091C	0
YLR088W	1
YDR331W	0
YFL025C	0
YIL102C-A	0
YPL096C-A	0
YLR459W	0
YLL031C	1
YKL165C	0
YGR216C	1
YNL038W	0
YPL175W	1
YHR188C	1
YPL110C	0
YML059C	0
YIL155C	0
YOR311C	0
YDL142C	0
YPR140W	0
YOL059W	0
YDR147W	0
YGR110W	0
YBR029C	0
YKR031C	0
YLR133W	0
YJR073C	0
YNL169C	0
YHR100C	0
YOL011W	0
YPL206C	0
YIL124W	0
YCL004W	1
YOR269W	0
YKR053C	0
YPL087W	0
YDR297W	0
YBR265W	1
YKL008C	0
YOR171C	0
YBR183W	0
YDR294C	0
YMR296C	1
YDL174C	0
YML054C	0
YPL280W	0
YML004C	0
YBL015W	0
YOL151W	0
YKL029C	0
YNL117W	0
YOR040W	0
YEL071W	0
YNL274C	0
YOR388C	0
YPR006C	0
YAL061W	0
YKR080W	0
YGR204W	0
YBL013W	0
YOR236W	0
YER183C	0
YPL023C	0
YJL068C	0
YDL168W	0
YPL258C	0
YPL214C	0
