,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,class
0,eco:b2388,0.00016677757417551188,0.10706426733301475,0.0018992719365282299,0.0020605168913707963,0.13711285238760776,2
1,eco:b3885,6.604513775732506e-05,0.09636059218715437,0.0005878243238650449,0.000641317314953763,0.1218998090141598,2
2,eco:b3879,9.479437881287559e-05,0.10446895073842787,0.003421252351940747,0.0036454885699752594,0.12764906324481978,2
3,eco:b3721,1.931624484895708e-05,0.09296778184979362,0.0013155476838271106,0.001304834044545002,0.11031807373819176,2
4,eco:b4025,0.0007482752408644407,0.11066678400242552,0.00547768512950859,0.005334759605821539,0.14494966857589286,2
5,eco:b1780,7.281502765298472e-05,0.09683343600212233,0.00026673701877733946,0.0002764205670177635,0.11960305788715832,2
6,eco:b2417,8.264836167173917e-05,0.10368890049784779,0.0004154874917545082,0.0004568658078455507,0.12423956016175848,2
7,eco:b0688,0.00041107383029521276,0.11017897860717533,0.0178762740209998,0.015360833600640502,0.14449455000325526,2
8,eco:b4232,0.002644756578396722,0.12543963338916614,0.014432814002948286,0.013029540992848754,0.15567658976255289,2
9,eco:b3916,0.004383283271686592,0.12556566115211576,0.030528219368709288,0.028969095591597632,0.15694608559135234,2
10,eco:b2925,0.037351727940521905,0.14321583812078595,0.05552019758793267,0.051704088866767535,0.17801575162837416,1
11,eco:b3919,0.03660674528064577,0.138149986809218,0.008531318604138754,0.007632214086146813,0.1679828483691379,2
12,eco:b1779,0.03344556269091264,0.13624239251461395,0.003745788161258588,0.00337551638472329,0.16279605112575746,1
13,eco:b2926,0.0019649698071912756,0.1130015262809577,0.0026081258019449087,0.0022581009014294765,0.12930954609409487,1
14,eco:b0755,0.0011067810727400243,0.11293345307235471,0.0018079818907973321,0.0020322862689021366,0.13081712145912405,2
15,eco:b2779,0.0131974862698811,0.12844777807475766,0.009408208286114737,0.01007542529119192,0.15550225980041008,1
16,eco:b0114,0.1470195926586876,0.1470926105140124,0.010796561433945435,0.0106772435490671,0.18844846363888798,2
