,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,class
0,eco:b2388,0.00016648895463276,0.14218506022982738,0.0033508979511066082,0.003635383483913407,0.1820906233297856,2
1,eco:b3885,6.585301406507054e-05,0.1279702084103972,0.0010371023151379713,0.0011314803506316188,0.16188717410984518,2
2,eco:b3879,9.470169167728839e-05,0.13873838978123584,0.006036137993642446,0.006431759425794641,0.16952238312426213,2
3,eco:b3721,1.9250080976546798e-05,0.12346443861265945,0.0023210294184504137,0.0023021272743030423,0.14650622798467944,2
4,eco:b4025,0.0007471662436707478,0.14696932730957954,0.009664315848750844,0.009412151408644799,0.19249818702492147,2
5,eco:b1780,7.261971334859434e-05,0.1285981613958821,0.0004706058740272375,0.0004876906217846299,0.15883700895707886,2
6,eco:b2417,8.256665619916663e-05,0.13770245600797995,0.0007330473104212651,0.0008060513452532482,0.1649944447812949,2
7,eco:b0688,0.00041056070164467365,0.1463215048265811,0.0315392276578811,0.02710121960405779,0.19189377377599948,2
8,eco:b4232,0.0026437805571988314,0.16658818364832903,0.025463908533070338,0.02298810474534041,0.20674391039275433,2
9,eco:b3916,0.004382344980518198,0.16675555288843116,0.05386113792663865,0.051110365607117514,0.20842984488215696,2
10,eco:b2925,0.03735192511515754,0.19019560004769118,0.097954649233913,0.09122186355482456,0.2364110921191846,1
11,eco:b3919,0.03660715494295703,0.18346797381166377,0.015051861442813105,0.013465565436840844,0.22308704862895612,2
12,eco:b1779,0.033445898658435814,0.18093462242908992,0.006608718653414504,0.005955445726309199,0.21619880200082517,1
13,eco:b2926,0.00196499710933216,0.15006994602919094,0.0046015334812670025,0.0039839822504951555,0.17172756193710007,1
14,eco:b0755,0.0011067763919545123,0.14997954244724562,0.003189834323875188,0.0035855760112870217,0.17372967430770944,2
15,eco:b2779,0.01319737324434298,0.17058310411951197,0.016598963667706204,0.017776139011719073,0.20651239415690273,1
16,eco:b0114,0.14702026392945206,0.1953440882404298,0.019048444244448855,0.018837930916536454,0.2502660954973091,2
17,eco:b0115,0.056341845480586246,0.17164153082552758,0.002481196146904053,0.0020907303265945572,0.21778865803432265,2
18,eco:b0116,1.322383533989094e-28,0.0,0.0,0.0,0.0,2
19,eco:b1854,0.22290123613190022,0.2106311679039152,0.1780194818213522,0.17657114588690628,0.2847365744403311,2
20,eco:b2715,1.0579875510812325e-06,0.10812163120611733,0.0,0.0,0.12198640371774554,2
21,eco:b3403,0.00080115370694529,0.14218506022982738,0.0006108169357974618,0.0006378247724457874,0.16235411585845153,2
22,eco:b4069,0.05638397850443313,0.17070006202429053,0.006102598261543979,0.006187729945976866,0.2170861853304049,2
23,eco:b4395,0.0011067763919545123,0.14997954244724562,0.003189834323875188,0.0035855760112870217,0.17372967430770944,2
24,eco:b3588,0.01531630631452326,0.15623849417158941,0.0035084864052450414,0.0037870632338213436,0.19075980217598731,2
25,eco:b3589,0.004072577068084036,0.14018358134145706,0.0002650205969168242,0.0005813309655860036,0.1647086896725629,2
