,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reach_centrality,subgraph_centrality,degree_centrality,clustering_coefficient,pagerank,hits,ind_set_maximal,damage,class
0,eco:b0337,0.00010532033756171486,0.11592745835907614,0.0005320664206632205,0.0005864111553784144,0.14054284872833292,0.14054284872833292,1.1408151872210756e-08,0.00967741935483871,0.5303030303030303,0.0012377560672529168,1.3522184945619827e-05,0.9690553745928339,1.0,2
1,eco:b0680,0.0002000977273260998,0.1280130382948226,0.0,0.0,0.1502161682403607,0.1502161682403607,3.981136927889515e-08,0.004032258064516129,1.0,0.0005856198740841652,2.5742186074556647e-05,0.9771986970684039,1.0,1
2,eco:b2103,1.3822590284512038e-05,0.10624628231525966,0.0012432958549135208,0.0012493922967964127,0.11784540280508096,0.11784540280508096,1.9104701685771163e-10,0.0016129032258064516,0.0,0.0005915368677531202,1.7926190160372777e-06,0.9788273615635179,1.0,2
3,eco:b3993,0.0004324942488972831,0.12494350130485082,0.0034456342507286205,0.0034460464581268046,0.1436145619613354,0.1436145619613354,1.870069248184352e-07,0.004838709677419355,0.4,0.0011688234880733491,5.6096662258703666e-05,0.99185667752443,1.0,2
4,eco:b2844,0.03316980969486537,0.1480674653466925,0.003651744175222877,0.003660725627899183,0.1876253115164374,0.1876253115164374,0.0010994186210548228,0.018548387096774192,0.5533596837944664,0.0017415964289520345,0.0043011747763236335,0.995114006514658,1.0,2
5,eco:b1046,2.2076607607242557e-11,0.06406126066474925,0.0,0.0,0.06930139416688168,0.06930139416688168,6.945265496963303e-14,0.0016129032258064516,1.0,0.000778244843912524,2.7811119988350708e-12,0.9853420195439739,1.0,2
6,eco:b3416,2.1005072982193e-05,0.11651351978574073,0.0004742074578669577,0.0005798538490976794,0.1431298014261725,0.1431298014261725,1.6718678175468095e-09,0.012096774193548387,0.7619047619047619,0.0015206117555604825,2.6275175955582263e-06,0.9674267100977199,1.0,2
7,eco:b2499,1.281562723468798e-07,0.09361490896079747,0.0007160030483715725,0.0007857012543745978,0.10344629944428259,0.10344629944428259,1.1464385271191747e-13,0.0024193548387096775,0.3333333333333333,0.0009259803811464723,1.641404262589356e-08,0.9771986970684039,1.0,2
8,eco:b0179,1.6499742308987095e-11,0.06761018078055563,0.002230301131773442,0.002161266284453558,0.07440935250361172,0.07440935250361172,9.046414834727722e-14,0.0024193548387096775,0.3333333333333333,0.0011597521210360018,1.7174038156046341e-12,0.9592833876221498,1.0,1
9,eco:b0074,0.0006913786186161593,0.12666012095921889,0.00024119628523895274,0.00028279049071905236,0.14731938088792823,0.14731938088792823,4.779068805619544e-07,0.00564516129032258,0.47619047619047616,0.0011921313416430879,8.967696959546823e-05,0.993485342019544,1.0,2
10,eco:b1702,0.15413892217188965,0.1731875815774753,0.005134407951285154,0.0048737120939417716,0.21729429396768113,0.21729429396768113,0.023759566581758186,0.02661290322580645,0.6837121212121212,0.0018888830722259156,0.019995371556474944,0.990228013029316,1.0,2
11,eco:b2615,0.00042245129104621264,0.1372175480325314,0.0012979967381092333,0.0013807503354809404,0.16358292916760409,0.16358292916760409,1.7805273212262617e-07,0.007258064516129033,0.8333333333333334,0.000935283523828696,5.469681321501136e-05,0.9869706840390879,1.0,1
