,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reach_centrality,subgraph_centrality,degree_centrality,clustering_coefficient,pagerank,hits,ind_set_maximal,damage,class
0,eco:b0337,0.00010532033756171486,0.11592745835907614,0.0005320664206632207,0.0005864111553784144,0.14054284872833292,0.14054284872833292,1.1408151872211123e-08,0.00967741935483871,0.5303030303030303,0.0012377560672529166,1.352218494561983e-05,0.9656862745098039,1.0,2
1,eco:b0680,0.00020009772732609987,0.1280130382948226,0.0,0.0,0.1502161682403607,0.1502161682403607,3.9811369278893823e-08,0.004032258064516129,1.0,0.0005856198740841652,2.574218607455666e-05,0.9558823529411765,1.0,1
2,eco:b2103,1.3822590284512041e-05,0.10624628231525966,0.0012432958549135208,0.0012493922967964127,0.11784540280508096,0.11784540280508096,1.9104701685771256e-10,0.0016129032258064516,0.0,0.0005915368677531202,1.792619016037278e-06,0.988562091503268,1.0,2
3,eco:b3993,0.0004324942488972832,0.12494350130485082,0.0034456342507286205,0.003446046458126805,0.1436145619613354,0.1436145619613354,1.870069248184342e-07,0.004838709677419355,0.4,0.0011688234880733491,5.609666225870369e-05,0.9771241830065359,1.0,2
4,eco:b2844,0.03316980969486536,0.1480674653466925,0.003651744175222877,0.003660725627899183,0.1876253115164374,0.1876253115164374,0.00109941862105482,0.018548387096774192,0.5533596837944664,0.0017415964289520345,0.004301174776323634,0.9803921568627451,1.0,2
5,eco:b1046,2.2076607607242567e-11,0.06406126066474925,0.0,0.0,0.06930139416688168,0.06930139416688168,6.945265496963356e-14,0.0016129032258064516,1.0,0.000778244843912524,2.781111998835072e-12,0.9591503267973857,1.0,2
6,eco:b3416,2.1005072982193e-05,0.11651351978574073,0.0004742074578669577,0.0005798538490976795,0.1431298014261725,0.1431298014261725,1.6718678175482197e-09,0.012096774193548387,0.7619047619047619,0.0015206117555604825,2.627517595558228e-06,0.9787581699346405,1.0,2
7,eco:b2499,1.2815627234687982e-07,0.09361490896079747,0.0007160030483715725,0.0007857012543745976,0.10344629944428259,0.10344629944428259,1.1464385271190435e-13,0.0024193548387096775,0.3333333333333333,0.0009259803811464723,1.641404262589357e-08,0.9754901960784313,1.0,2
8,eco:b0179,1.6499742308987095e-11,0.06761018078055563,0.002230301131773442,0.002161266284453558,0.07440935250361172,0.07440935250361172,9.046414834727789e-14,0.0024193548387096775,0.3333333333333333,0.0011597521210360015,1.717403815604635e-12,0.9754901960784313,1.0,1
9,eco:b0074,0.0006913786186161594,0.12666012095921889,0.00024119628523895268,0.00028279049071905236,0.14731938088792823,0.14731938088792823,4.779068805619567e-07,0.00564516129032258,0.47619047619047616,0.0011921313416430877,8.967696959546827e-05,0.9575163398692811,1.0,2
10,eco:b1702,0.15413892217188968,0.1731875815774753,0.005134407951285154,0.00487371209394177,0.21729429396768113,0.21729429396768113,0.02375956658175815,0.02661290322580645,0.6837121212121212,0.001888883072225916,0.019995371556474947,0.9689542483660131,1.0,2
11,eco:b2615,0.0004224512910462128,0.1372175480325314,0.0012979967381092333,0.00138075033548094,0.16358292916760409,0.16358292916760409,1.780527321226256e-07,0.007258064516129033,0.8333333333333334,0.000935283523828696,5.469681321501139e-05,0.9705882352941176,1.0,1
12,eco:b1040,9.12627210862202e-26,0.0,0.0,0.0,0.0,0.0,2.4861238775662952e-14,0.0,0.0,0.00015644555758809593,0.0,0.9705882352941176,0.0,2
13,eco:b1764,0.0008214923213151783,0.11579304971170329,0.0,0.0,0.12980363946089837,0.12980363946089837,6.749499101851227e-07,0.0016129032258064516,1.0,0.000473058228292549,0.00010657267026309223,0.9673202614379085,1.0,2
14,eco:b3575,2.5362310489624874e-07,0.09493489104215218,0.0,0.0,0.10269126291955903,0.10269126291955903,1.0950313169025114e-13,0.0008064516129032258,0.0,0.00041749538289734603,3.289526478969128e-08,0.9803921568627451,1.0,2
15,eco:b2747,0.0001873170964932395,0.11835453925697502,0.004457256955542632,0.004516119346939976,0.13080884393384473,0.13080884393384473,3.5092730559528606e-08,0.0016129032258064516,0.0,0.0006818513616233205,2.430067396677968e-05,0.9803921568627451,1.0,1
16,eco:b1921,9.12627210862202e-26,0.0,0.0,0.0,0.0,0.0,2.4861238775662965e-14,0.0,0.0,0.00015644555758809593,0.0,0.9787581699346405,0.0,2
17,eco:b0181,1.354896847810494e-08,0.08346970779468792,0.004418003502572658,0.004337000559695762,0.09432244369435434,0.09432244369435434,3.5108750381524056e-13,0.004032258064516129,0.6,0.0013613634618082667,1.6799687199791818e-09,0.9820261437908496,1.0,1
18,eco:b4069,0.04174578798615176,0.14832401788565955,0.0015532547425404519,0.0015075978613017505,0.1906495050648245,0.1906495050648245,0.001741494675797937,0.025,0.421505376344086,0.0021234541245177987,0.005413362421369705,0.9624183006535948,1.0,2
19,eco:b3223,4.1289878692688474e-07,0.09358566800844362,0.0016828767941064297,0.0016965316288717054,0.10678472434164979,0.10678472434164979,7.787375816344381e-13,0.004032258064516129,0.6,0.0011083508854100217,5.2516303697861934e-08,0.9738562091503268,1.0,2
20,eco:b1525,0.0015253373914774736,0.1372804197612977,0.0028055924112761993,0.0027534113776761094,0.1654408517110103,0.1654408517110103,2.313426072451553e-06,0.013709677419354839,0.6470588235294118,0.0014376060873564575,0.0001970933999193383,0.9705882352941176,1.0,2
21,eco:b4177,0.0002006991606795785,0.11588262081958316,1.1691202163219832e-05,1.3106582162662767e-05,0.13974183746361205,0.13974183746361205,4.0461639555498066e-08,0.0064516129032258064,0.8214285714285714,0.0007889862539217887,2.587899759815747e-05,0.9624183006535948,1.0,2
22,eco:b4015,0.011393187574144382,0.15353036952550975,0.012009673025870339,0.012965787645910469,0.19095567738712604,0.19095567738712604,0.0001296564890219205,0.017741935483870968,0.42857142857142855,0.0017286640634660332,0.0014770558025433602,0.9869281045751634,1.0,2
23,eco:b1270,1.4384421240619558e-18,0.0015508684863523574,0.0,0.0,0.0019489247311827956,0.0019489247311827956,3.9584296299940494e-14,0.0008064516129032258,0.0,0.0006818092562199693,3.373181063663731e-51,0.9754901960784313,0.00580046403712297,2
24,eco:b0767,0.00018805676977425844,0.12894965187391103,0.001111600232295548,0.0014535983935363207,0.14631017056420165,0.14631017056420165,3.5363749099289276e-08,0.0024193548387096775,0.0,0.000583208561495044,2.4394202632150294e-05,0.9705882352941176,1.0,2
25,eco:b1042,9.12627210862202e-26,0.0,0.0,0.0,0.0,0.0,2.4861238775662942e-14,0.0,0.0,0.00015644555758809593,0.0,0.9624183006535948,0.0,2
26,eco:b3288,0.0001333326732704069,0.11922583212456515,0.0008165964876994802,0.0011113408424411157,0.14067254653948214,0.14067254653948214,1.775818673342346e-08,0.007258064516129033,0.7777777777777778,0.0010583955753488436,1.725359563791214e-05,0.9869281045751634,1.0,1
27,eco:b3125,0.006929489767508196,0.1411943996838041,6.424113862695106e-05,9.665378390512378e-05,0.16626964657206333,0.16626964657206333,4.801881336532356e-05,0.004032258064516129,0.6,0.0005775723087394842,0.0008989094083493099,0.9689542483660131,1.0,2
28,eco:b2258,9.12627210862202e-26,0.0,0.0,0.0,0.0,0.0,2.486123877566296e-14,0.0,0.0,0.00015644555758809593,0.0,0.9607843137254902,0.0,2
29,eco:b4195,8.42879701007878e-09,0.08357448148648042,0.0,0.0,0.08914452404016013,0.08914452404016013,4.171047301456067e-14,0.0008064516129032258,0.0,0.0004623201494771656,1.092362978776554e-09,0.9656862745098039,1.0,2
30,eco:b0335,0.01134215132150389,0.1413609417924191,0.00011042049452124366,0.00016352619550445192,0.1715247901739809,0.1715247901739809,0.0001285483419055176,0.008870967741935484,0.7454545454545455,0.0009051366689124271,0.0014707489106581615,0.9738562091503268,1.0,2
31,eco:b1852,1.4188410780499006e-05,0.11751893160581771,0.0003494081869987862,0.0006316528904912411,0.1388738490452203,0.1388738490452203,2.341692737485703e-10,0.004032258064516129,0.3,0.0008344453308979634,1.8218682797040363e-06,0.9591503267973857,1.0,2
32,eco:b1617,1.3213723417471323e-08,0.07853591510590623,0.0,0.0,0.08354218283297976,0.08354218283297976,4.2918988673430765e-14,0.0008064516129032258,0.0,0.00047646387051090397,1.7145888598203592e-09,0.9738562091503268,1.0,2
33,eco:b3605,0.1740048099376115,0.16780426554412337,4.3035054879436984e-05,2.760858531204509e-05,0.212888601094245,0.212888601094245,0.0302788457660755,0.025806451612903226,0.9495967741935484,0.0017502151382622624,0.02257251128712565,0.9836601307189542,1.0,2
34,eco:b4055,3.98333976673488e-07,0.10229242612804106,0.00010378530677765036,9.150380371969087e-05,0.11582060412705576,0.11582060412705576,1.08372954471495e-11,0.007258064516129033,0.8333333333333334,0.0011517852853973696,5.114193164824742e-08,0.9820261437908496,1.0,2
35,eco:b3769,0.15177774013615744,0.1684647265274289,0.005598056552402328,0.005851761055578943,0.2135462431833389,0.2135462431833389,0.023037457850858804,0.025,0.7526881720430108,0.0019638734911667597,0.019689173927381058,0.9852941176470589,1.0,2
36,eco:b3026,9.12627210862202e-26,0.0,0.0,0.0,0.0,0.0,2.486123877566296e-14,0.0,0.0,0.00015644555758809593,0.0,0.9754901960784313,0.0,2
37,eco:b0945,6.001578009696858e-07,0.11448777842148732,0.0010216171952812493,0.0011153620082948147,0.12744810521020283,0.12744810521020283,6.313985045033022e-13,0.0032258064516129032,0.8333333333333334,0.0008671370982316997,7.69890431803362e-08,0.9771241830065359,1.0,2
38,eco:b0930,4.379107839202492e-05,0.11289167902374991,0.0,0.0,0.12691301306220742,0.12691301306220742,1.904129100956804e-09,0.0024193548387096775,1.0,0.0004130573314531024,5.637049531116965e-06,0.9689542483660131,1.0,1
39,eco:b1890,9.12627210862202e-26,0.0,0.0,0.0,0.0,0.0,2.486123877566296e-14,0.0,0.0,0.00015644555758809593,0.0,0.9738562091503268,0.0,2
40,eco:b3918,3.022844690949662e-07,0.0882257114632015,0.002397670309931132,0.002264210789881164,0.10094664664873378,0.10094664664873378,1.1242255035521963e-12,0.00564516129032258,0.6190476190476191,0.0013558263761243357,3.9157739871175205e-08,0.9771241830065359,1.0,2
41,eco:b2560,6.572062596554364e-10,0.07054733132305917,0.002239058553984743,0.002239058553984743,0.07780715935293125,0.07780715935293125,9.622699966854002e-14,0.0024193548387096775,0.3333333333333333,0.0010232413827432592,8.43385160001286e-11,0.9738562091503268,1.0,2
42,eco:b0915,2.956656458701041e-13,0.063808862981372,0.0002946045995016356,0.0004126430785140332,0.06957939986459177,0.06957939986459177,5.992998784380773e-14,0.0016129032258064516,0.0,0.0008896381445441799,2.7150411207755735e-14,0.9803921568627451,1.0,1
43,eco:b1208,5.9854500374786545e-06,0.10192703389319009,0.0033903779510952845,0.0034559837016485077,0.11027479129293612,0.11027479129293612,3.589182351791223e-11,0.0016129032258064516,0.0,0.0008017737310971654,7.765403746309482e-07,0.9722222222222222,1.0,1
44,eco:b2868,0.00011578267350019864,0.11047732895613285,2.648103771002356e-06,2.6961531833436855e-06,0.13384188504148256,0.13384188504148256,1.3814197502217548e-08,0.008064516129032258,0.7777777777777778,0.0009479478386895208,1.4860645036213245e-05,0.988562091503268,1.0,2
45,eco:b1719,0.0004036179633614879,0.12322209176600134,0.0,0.0,0.140410275208662,0.140410275208662,1.628096080314614e-07,0.0016129032258064516,1.0,0.00038526037655331566,5.2340913482117426e-05,0.9771241830065359,1.0,1
46,eco:b3942,0.0007083165633654271,0.13581800368496477,0.0004986209044114222,0.0004453289635765185,0.16230051982067875,0.16230051982067875,5.002585028155516e-07,0.00564516129032258,0.8571428571428571,0.0008039197776654715,9.172646963127486e-05,0.9836601307189542,1.0,2
47,eco:b2127,9.12627210862202e-26,0.0,0.0,0.0,0.0,0.0,2.4861238775662952e-14,0.0,0.0,0.00015644555758809593,0.0,0.9575163398692811,0.0,2
48,eco:b0616,9.12627210862202e-26,0.0,0.0,0.0,0.0,0.0,2.486123877566296e-14,0.0,0.0,0.00015644555758809593,0.0,0.9591503267973857,0.0,2
49,eco:b2808,9.12627210862202e-26,0.0,0.0,0.0,0.0,0.0,2.4861238775662955e-14,0.0,0.0,0.00015644555758809593,0.0,0.9836601307189542,0.0,2
50,eco:b4383,0.000516997394345999,0.1387746716669904,0.00471373707141318,0.004521423762683732,0.16454941787602811,0.16454941787602811,2.6721790964290025e-07,0.0064516129032258064,0.75,0.0010113311496560014,6.705052754272792e-05,0.9656862745098039,1.0,2
51,eco:b1744,0.0016668062866401336,0.1405651025705054,0.0038699321782789597,0.0039039494676847216,0.1740369509522707,0.1740369509522707,2.762743164391913e-06,0.012096774193548387,0.8380952380952381,0.001469701878042663,0.00021531295972627255,0.9640522875816994,1.0,2
52,eco:b3429,2.4265526060319936e-07,0.09535789819510894,1.301778229060897e-06,1.301778229060897e-06,0.10837481883497002,0.10837481883497002,8.93769736313665e-13,0.0024193548387096775,0.3333333333333333,0.000550595018811346,2.9770823439087297e-08,0.9754901960784313,1.0,2
53,eco:b1096,2.0739926246009126e-07,0.09727744030163386,0.0005501384066555597,0.0008178493727193249,0.10845037802699056,0.10845037802699056,1.1584316826749367e-13,0.0016129032258064516,0.0,0.0005571487410677701,2.6574212322618907e-08,0.9705882352941176,1.0,2
54,eco:b3648,0.007526621062665605,0.14988219916409817,0.005449647788547884,0.004903317112918232,0.18624852522029653,0.18624852522029653,5.662519334253055e-05,0.01129032258064516,0.45054945054945056,0.0012456762685913222,0.0009761302826889026,0.9836601307189542,1.0,1
55,eco:b4192,2.638719548773664e-07,0.09498003364369385,0.0011208310552214323,0.0011208310552214325,0.10363212313461273,0.10363212313461273,1.700827144930462e-13,0.0024193548387096775,0.3333333333333333,0.0010761779764898404,3.421877880450576e-08,0.9820261437908496,1.0,2
56,eco:b2779,0.0199073724376991,0.15353036952550975,0.003028531619591553,0.0028657865841446198,0.18380161952742338,0.18380161952742338,0.0003962779464850126,0.00967741935483871,0.5303030303030303,0.001035260027818275,0.0025823200907275196,0.9656862745098039,1.0,1
57,eco:b3729,0.00017335714133277061,0.12618004469531785,0.011849058204197554,0.01171479979797269,0.1547128554689024,0.1547128554689024,3.060763413691719e-08,0.01129032258064516,0.7582417582417582,0.001596180231427386,2.2421454754149337e-05,0.9624183006535948,1.0,1
58,eco:b4014,0.05437761932638613,0.16112638673247232,0.006317115371907874,0.007892642113594674,0.20408224839676217,0.20408224839676217,0.0029555574488173498,0.02338709677419355,0.4088669950738916,0.0019537232446304917,0.007052258872135599,0.9738562091503268,1.0,2
