,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,clustering_coefficient,class
0,eco:b2388,6.222051071017055e-05,0.12607434853050795,0.001524021213680377,0.0016371887945936293,0.15849561362346995,0.5054945054945055,2
1,eco:b3885,1.8634630086803955e-05,0.11637171458184178,0.0005448196004014269,0.0006049983098600877,0.14309269242140674,0.5277777777777778,2
2,eco:b3879,3.282711291996861e-05,0.12070089144852277,0.002898932140592492,0.003017386297299218,0.145710016316654,0.3333333333333333,2
3,eco:b3721,3.524525807964064e-05,0.11737539971000333,0.0026174172736930282,0.0025796584000768934,0.1468791580413869,0.4696969696969697,2
4,eco:b4025,0.0002689649961870627,0.1322334462589889,0.0055863573874454855,0.0051916367449757654,0.1684878883056247,0.4411764705882353,2
5,eco:b1780,2.4611441292904158e-05,0.1170109668950451,0.0,0.0,0.1420732095466464,1.0,2
6,eco:b2417,5.9840775334529106e-05,0.12587998930872402,0.0008469295087730867,0.0009395544258678788,0.15686340470072796,0.6666666666666666,2
7,eco:b0688,0.0001759825773943785,0.13489122202355558,0.02818449997585537,0.02693089936884955,0.17204995011034152,0.28654970760233917,2
8,eco:b4232,0.0012066177935951268,0.1439685331735392,0.009110459721314341,0.008296579893913062,0.17714453361896204,0.7272727272727273,2
9,eco:b3916,0.002041532762943197,0.14418037621823246,0.022262275404610583,0.01822106314458743,0.17913945563564682,0.47619047619047616,2
10,eco:b2925,0.02324030133308498,0.1628739755284421,0.03841942526433304,0.03330818994472487,0.20184133059541112,0.34558823529411764,1
11,eco:b3919,0.023029340958534022,0.15768423507871063,0.006533432750561933,0.005706131229958545,0.19215127757021108,0.5384615384615384,2
12,eco:b1779,0.021099890355899775,0.15548236064409834,0.0018902466469063717,0.0018997597189860083,0.18592038477783845,0.75,1
13,eco:b2926,0.000939287836697901,0.1299190979553312,0.0005907610564656195,0.0006447326244107144,0.1487160705332633,0.5,1
14,eco:b0755,0.0008964289368469261,0.13411577289612753,0.0004926807612845483,0.000504985299820642,0.15500784730926184,0.6,2
15,eco:b2779,0.017740363901801955,0.1591181936958603,0.004256237826365272,0.004186513420585689,0.19150789362976503,0.39285714285714285,1
16,eco:b0114,0.17802530720804538,0.17591559008601576,0.013391351864030804,0.014398495628755153,0.22770049742302179,0.6137566137566137,2
17,eco:b0115,0.04381136693798072,0.15093189106270913,0.0011565494974688847,0.0013815710343989447,0.19002304671510317,0.6833333333333333,2
18,eco:b0116,0.009776977279598139,0.15130479258479118,0.00012991999875292193,0.00017501853972148496,0.17933498311626697,0.6666666666666666,2
19,eco:b1854,0.2051941015064807,0.1883602146826428,0.10678224073140569,0.1047661060688505,0.25086055281920355,0.3657505285412262,2
20,eco:b2715,1.4456791315688773e-06,0.10114056944458173,0.0,0.0,0.11672619529865265,0.0,2
21,eco:b3403,0.013378606265005947,0.16709581118334033,0.014239104727946568,0.017372789068029235,0.19993131641662643,0.5277777777777778,2
22,eco:b4069,0.04777602490346453,0.14895862523245784,0.0016938384707194938,0.001533489601168521,0.19070054295843175,0.45454545454545453,2
23,eco:b4395,0.0008964289368469261,0.13411577289612753,0.0004926807612845483,0.000504985299820642,0.15500784730926184,0.6,2
24,eco:b3588,0.013358091714268041,0.14392623924487483,0.0010830542324417754,0.001916516052182588,0.17385342260206232,0.4444444444444444,2
25,eco:b3589,0.003767505347185495,0.12656288255994674,1.481671135386811e-07,1.481671135386811e-07,0.1482463099710111,0.9,2
26,eco:b2453,0.003767505347185495,0.12656288255994674,1.481671135386811e-07,1.481671135386811e-07,0.14824630997101107,0.9,2
27,eco:b0720,0.003633425660387159,0.14242003441556797,0.00016778401309165217,0.00017167100387085882,0.16782367070723966,0.6666666666666666,2
28,eco:b1276,0.0008182242135535661,0.14118873728805587,0.00029180539919435147,0.0004053768245455152,0.16331817740958088,0.0,2
29,eco:b1136,0.0018526678609241034,0.14354670916775678,0.0006497058895371839,0.0006742610849603219,0.1719777441757853,0.6,2
30,eco:b3236,0.02419888826807579,0.16473601828835033,0.006477699805234279,0.008027405652023673,0.20110721704845705,0.45454545454545453,2
31,eco:b4122,0.02125945077881139,0.15343718082980076,0.004142512032682672,0.003802099750956837,0.1869799859190498,0.4444444444444444,2
32,eco:b2210,0.023211782728654852,0.15844919740929944,0.001823875500699764,0.0015907722061261572,0.19181349118781071,0.5272727272727272,2
33,eco:b4154,0.002067257725474418,0.13902523223313107,0.0004341938761431319,0.0004045250459117357,0.16678165565543135,0.7222222222222222,2
34,eco:b0724,0.002067257725474418,0.13902523223313107,0.0004341938761431319,0.0004045250459117357,0.16678165565543138,0.7222222222222222,2
35,eco:b0729,0.005313307757731122,0.14062138874556657,0.002777413305424149,0.002871185446350753,0.17181877486556454,0.45454545454545453,2
36,eco:b0726,0.011117956497866805,0.1633627603833124,0.0191057869442754,0.020444762797566827,0.2016587450755022,0.3090909090909091,2
37,eco:b0727,0.006883725251714303,0.141801712992635,0.0022172191563889416,0.00306778772287987,0.17169210006533153,0.4642857142857143,2
38,eco:b4094,2.6642043087337544e-06,0.11398904569324195,0.006324957742739219,0.006324957742739219,0.13084788246168938,0.5,2
