,ec,eigenvector_centrality,subgraph_centrality,clustering_coefficient,class
0,eco:b2388,6.222051071017059e-05,5.646750970238246e-08,0.5054945054945055,2
1,eco:b3885,1.8634630086803965e-05,7.427068607496994e-09,0.5277777777777778,2
2,eco:b3879,3.282711291996863e-05,4.933505238216523e-09,0.3333333333333333,2
3,eco:b3721,3.524525807964065e-05,3.872944332656515e-08,0.4696969696969697,2
4,eco:b4025,0.00026896499618706286,2.0371480959279155e-07,0.4411764705882353,2
5,eco:b1780,2.4611441292904174e-05,1.3003933388480448e-08,1.0,2
6,eco:b2417,5.984077533452915e-05,5.198298409957427e-08,0.6666666666666666,2
7,eco:b0688,0.00017598257739437863,9.226870745706704e-08,0.28654970760233917,2
8,eco:b4232,0.0012066177935951272,1.544403334505502e-06,0.7272727272727273,2
9,eco:b3916,0.0020415327629431977,4.262080740510186e-06,0.47619047619047616,2
10,eco:b2925,0.02324030133308499,0.0005401393384672829,0.34558823529411764,1
11,eco:b3919,0.023029340958534032,0.0005303693863002118,0.5384615384615384,2
12,eco:b1779,0.021099890355899785,0.0004452044381973921,0.75,1
13,eco:b2926,0.0009392878366979014,8.825483983885864e-07,0.5,1
14,eco:b0755,0.0008964289368469264,8.038620251460991e-07,0.6,2
15,eco:b2779,0.017740363901801958,0.0003146959225963149,0.39285714285714285,1
16,eco:b0114,0.1780253072080455,0.031691045992395174,0.6137566137566137,2
17,eco:b0115,0.04381136693798074,0.0019199827387758612,0.6833333333333333,2
18,eco:b0116,0.009776977279598148,9.55801153561419e-05,0.6666666666666666,2
19,eco:b1854,0.20519410150648085,0.04210097773596,0.3657505285412262,2
20,eco:b2715,1.4456791315688781e-06,3.8662893927053136e-10,0.0,2
21,eco:b3403,0.013378606265005947,0.00017895515888266116,0.5277777777777778,2
22,eco:b4069,0.04777602490346456,0.0022834091711265857,0.45454545454545453,2
23,eco:b4395,0.0008964289368469264,8.038620251460991e-07,0.6,2
24,eco:b3588,0.013358091714268052,0.00017850126926037739,0.4444444444444444,2
25,eco:b3589,0.0037675053471854974,1.4223348446983633e-05,0.9,2
26,eco:b2453,0.0037675053471854974,1.4223348446983633e-05,0.9,2
27,eco:b0720,0.0036334256603871608,1.320244921009342e-05,0.6666666666666666,2
28,eco:b1276,0.0008182242135535665,6.69978557065751e-07,0.0,2
29,eco:b1136,0.0018526678609241047,3.5282278593526527e-06,0.6,2
30,eco:b3236,0.0241988882680758,0.0005854703061174824,0.45454545454545453,2
31,eco:b4122,0.0212594507788114,0.0004519262372251861,0.4444444444444444,2
32,eco:b2210,0.023211782728654862,0.0005387203133958467,0.5272727272727272,2
33,eco:b4154,0.002067257725474419,4.281989223852261e-06,0.7222222222222222,2
34,eco:b0724,0.002067257725474419,4.281989223852265e-06,0.7222222222222222,2
35,eco:b0729,0.005313307757731125,2.829710057041807e-05,0.45454545454545453,2
36,eco:b0726,0.01111795649786681,0.00012362112797746982,0.3090909090909091,2
37,eco:b0727,0.006883725251714308,4.7460762354292436e-05,0.4642857142857143,2
38,eco:b4094,2.6642043087337552e-06,2.2035522309352315e-10,0.5,2
39,eco:b1207,0.00015286006891681808,3.7707788406593226e-08,0.5111111111111111,1
40,eco:b2935,0.0010933122800681162,1.3424541557325002e-06,0.2717391304347826,2
41,eco:b4381,0.021139742974113,0.00044688858081025373,0.6111111111111112,2
42,eco:b3526,0.008461314530787113,7.159192246993887e-05,0.5,2
43,eco:b4268,0.0013893548427955174,1.930679188429031e-06,0.0,2
44,eco:b3553,0.025515071635729674,0.0006510195213505414,0.28104575163398693,2
45,eco:b0124,4.141646495914148e-05,3.0620940875034315e-08,0.9166666666666666,2
46,eco:b2464,0.0007698529381453667,5.94928114739183e-07,0.6666666666666666,2
47,eco:b2029,8.205243902486448e-05,8.542774141233211e-09,0.47619047619047616,2
48,eco:b1851,0.00848622723947369,7.201404968146473e-05,0.0,2
