,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reach_centrality,subgraph_centrality,degree_centrality,clustering_coefficient,pagerank,hits,ind_set_maximal,damage,class
0,pae:PA0005,3.938748703152033e-06,0.10248337412335261,0.026353895163625834,0.026353895163625834,0.11866646998096189,0.11866646998096189,1.9173126627987173e-11,0.005208333333333333,0.6666666666666666,0.0009340608193351221,5.102819905690941e-07,0.9758812615955473,1.0,2
1,pae:PA0009,0.0016384173124824734,0.13147481988389303,0.0,0.0,0.15852348717748266,0.15852348717748266,2.6800569172484838e-06,0.008680555555555556,1.0,0.0009733444101708346,0.00021202369945458305,0.9628942486085343,1.0,1
2,pae:PA0018,8.582619114430663e-05,0.12824467710095883,0.0024992559205968276,0.002472414678533379,0.15543253877403473,0.15543253877403473,7.39374051097552e-09,0.0078125,0.7777777777777778,0.0010954603730639887,1.1061366289889458e-05,0.9647495361781077,1.0,1
3,pae:PA0024,1.0140683523060126e-13,0.06125545870645158,0.0,0.0,0.0661295663919993,0.0661295663919993,1.2247257826468907e-13,0.001736111111111111,1.0,0.0008466982912359049,4.667583169708529e-15,0.9666048237476809,1.0,1
4,pae:PA0035,4.14862764066127e-10,0.07896049940270311,0.0,0.0,0.08599540851700871,0.08599540851700871,1.2581472317651916e-13,0.001736111111111111,1.0,0.000712857118576501,5.340490006238236e-11,0.9833024118738405,1.0,2
5,pae:PA0036,1.190337371281908e-08,0.08833636849261849,0.0017180704776887613,0.0017215700026557337,0.09823178084452748,0.09823178084452748,2.291419116351305e-13,0.003472222222222222,0.3333333333333333,0.0012609786392151886,1.538184549928368e-09,0.9666048237476809,1.0,2
6,pae:PA0143,0.0002655934142287771,0.11803495322784942,0.00039426099660417127,0.00039410836403723786,0.1474478753857268,0.1474478753857268,7.063425759914716e-08,0.012152777777777776,0.5274725274725275,0.0015108572266835933,3.4306237699328136e-05,0.974025974025974,1.0,2
7,pae:PA0154,1.4428819426779507e-09,0.08201597646048853,0.0024071545954675267,0.002378783043457682,0.09503348089760578,0.09503348089760578,2.205629906300615e-12,0.005208333333333333,0.6,0.0012161811394490012,1.513022816299409e-10,0.9684601113172542,1.0,2
8,pae:PA0196,0.00041442817172005647,0.13781475773995683,0.0009765823543333345,0.0009963442674205357,0.1679208365487895,0.1679208365487895,1.7150947313456818e-07,0.006944444444444444,0.8214285714285714,0.0009803061566017479,5.362516789898147e-05,0.9647495361781077,1.0,2
9,pae:PA0228,0.04412612962656938,0.15518551221676222,0.0028063182802560683,0.002280274277742839,0.20379557138185678,0.20379557138185678,0.0019459461356584227,0.021701388888888888,0.5033333333333333,0.0018456245111118134,0.0057136937066628824,0.9795918367346939,1.0,2
