,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reach_centrality,subgraph_centrality,degree_centrality,clustering_coefficient,pagerank,hits,ind_set_maximal,damage,class
0,pae:PA0005,3.938748703152033e-06,0.10248337412335261,0.026353895163625834,0.026353895163625834,0.11866646998096189,0.11866646998096189,1.9173126628032116e-11,0.005208333333333333,0.6666666666666666,0.0009340608193351221,5.10281990569094e-07,0.9777777777777777,1.0,2
1,pae:PA0009,0.0016384173124824734,0.13147481988389303,0.0,0.0,0.15852348717748266,0.15852348717748266,2.6800569172486117e-06,0.008680555555555556,1.0,0.0009733444101708346,0.00021202369945458308,0.9703703703703703,1.0,1
2,pae:PA0018,8.582619114430663e-05,0.12824467710095883,0.0024992559205968276,0.0024724146785333793,0.15543253877403473,0.15543253877403473,7.393740510977212e-09,0.0078125,0.7777777777777778,0.0010954603730639887,1.1061366289889461e-05,0.9666666666666667,1.0,1
3,pae:PA0024,1.0140683523060131e-13,0.06125545870645158,0.0,0.0,0.0661295663919993,0.0661295663919993,1.2247257826469473e-13,0.001736111111111111,1.0,0.0008466982912359049,4.6675831697085295e-15,0.9592592592592593,1.0,1
4,pae:PA0035,4.1486276406612727e-10,0.07896049940270311,0.0,0.0,0.08599540851700871,0.08599540851700871,1.2581472317652525e-13,0.001736111111111111,1.0,0.000712857118576501,5.340490006238237e-11,0.9740740740740741,1.0,2
5,pae:PA0036,1.1903373712819087e-08,0.08833636849261849,0.0017180704776887613,0.0017215700026557337,0.09823178084452748,0.09823178084452748,2.291419116351378e-13,0.003472222222222222,0.3333333333333333,0.0012609786392151886,1.538184549928368e-09,0.9777777777777777,1.0,2
6,pae:PA0143,0.0002655934142287771,0.11803495322784942,0.00039426099660417127,0.00039410836403723796,0.1474478753857268,0.1474478753857268,7.063425759912155e-08,0.012152777777777776,0.5274725274725275,0.0015108572266835931,3.430623769932815e-05,0.9740740740740741,1.0,2
7,pae:PA0154,1.4428819426779516e-09,0.08201597646048853,0.0024071545954675267,0.0023787830434576825,0.09503348089760578,0.09503348089760578,2.205629906300712e-12,0.005208333333333333,0.6,0.0012161811394490012,1.513022816299409e-10,0.9666666666666667,1.0,2
8,pae:PA0196,0.00041442817172005647,0.13781475773995683,0.0009765823543333345,0.0009963442674205357,0.1679208365487895,0.1679208365487895,1.7150947313454565e-07,0.006944444444444444,0.8214285714285714,0.0009803061566017479,5.362516789898149e-05,0.9629629629629629,1.0,2
9,pae:PA0228,0.04412612962656938,0.15518551221676222,0.0028063182802560683,0.002280274277742839,0.20379557138185678,0.20379557138185678,0.0019459461356584225,0.021701388888888888,0.5033333333333333,0.0018456245111118134,0.005713693706662883,0.9703703703703703,1.0,2
10,pae:PA0230,7.287029716116791e-11,0.07394111855797497,0.0011514337245943492,0.001141103795785426,0.08291357593532972,0.08291357593532972,1.4039058679031453e-13,0.001736111111111111,0.0,0.0006857408398213621,4.919303820796261e-12,0.9555555555555556,1.0,2
11,pae:PA0247,1.6910391012620866e-08,0.09201705051314427,0.003729988510206025,0.00371504855908766,0.10987895517131228,0.10987895517131228,8.696636852574487e-12,0.008680555555555556,0.4666666666666667,0.0016848797548267738,2.1006842793652773e-09,0.9574074074074074,1.0,2
12,pae:PA0265,0.008379561650486268,0.14854304673617644,0.0007249332130372298,0.0008338118565164702,0.18510698036253684,0.18510698036253684,7.017757885818867e-05,0.011284722222222222,0.6153846153846154,0.0011281914121378455,0.0010850528540440076,0.987037037037037,1.0,2
13,pae:PA0292,2.026106973768454e-05,0.11433834806702066,0.00011406470246117943,0.00016730040082789632,0.13212336579038428,0.13212336579038428,4.110823731025784e-10,0.001736111111111111,0.0,0.000382584148709416,2.6230531990220594e-06,0.9537037037037037,1.0,2
14,pae:PA0293,5.59164227429456e-05,0.12219095274177251,0.0005371513282695826,0.0005886065113067677,0.1450971011599523,0.1450971011599523,3.128582628162136e-09,0.006944444444444444,0.75,0.0011198889200453722,7.227486272527941e-06,0.9351851851851852,1.0,2
15,pae:PA0299,0.000465001279541505,0.13718615002654697,0.0023306986436658077,0.002258412919794584,0.1683873068069265,0.1683873068069265,2.1591668193640365e-07,0.008680555555555556,0.6888888888888889,0.0012796339837900035,6.017961043544647e-05,0.9685185185185186,1.0,2
16,pae:PA0316,0.0015617740099917567,0.1300669346627311,0.00028756518869595474,0.0003379551221853861,0.15232903059240152,0.15232903059240152,2.4395922681333135e-06,0.006076388888888888,0.5714285714285714,0.0008515363902271674,0.0002023072988257576,0.9574074074074074,1.0,2
