,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reach_centrality,subgraph_centrality,degree_centrality,clustering_coefficient,pagerank,hits,ind_set_maximal,damage,class
0,sce:YMR205C,6.677767736558647e-05,0.12004546358473824,0.0020797595893308866,0.001830143846843328,0.14658601435248012,0.14658601435248012,6.920090385165348e-09,0.010446343779677113,0.8727272727272727,0.001541304793486975,8.483321581612188e-06,0.9557522123893806,1.0,2
1,sce:YBR196C,0.00010812849417466239,0.11842672756013282,0.008391484068397697,0.008009823796997273,0.14818314835702148,0.14818314835702148,1.556415286917909e-08,0.019943019943019943,0.30952380952380953,0.0032043899737620573,1.3761831755512038e-05,0.9539823008849557,1.0,1
2,sce:YKR097W,0.050724829422115585,0.14215807892294352,0.0017389463563123799,0.0020393497230791887,0.17828994103922666,0.17828994103922666,0.002573151998942904,0.015194681861348529,0.75,0.0013322964135418134,0.006493988588699207,0.9575221238938053,1.0,2
3,sce:YKL060C,6.177109456665009e-05,0.12453950816590258,0.010478263070286117,0.00969037667243907,0.15210854658441347,0.15210854658441347,5.087492909074176e-09,0.014245014245014245,0.4,0.002072562935907655,7.844059003036694e-06,0.968141592920354,1.0,1
4,sce:YLR377C,6.677767736558647e-05,0.12004546358473824,0.0020797595893308866,0.001830143846843328,0.14658601435248012,0.14658601435248012,6.920090385173354e-09,0.010446343779677113,0.8727272727272727,0.0015413047934869752,8.483321581612188e-06,0.9575221238938053,1.0,2
5,sce:YOL056W,0.001114108971143536,0.11978349857964335,0.0007895163947425541,0.0009452725283411975,0.1398495198666983,0.1398495198666983,1.2413424993801359e-06,0.004748338081671416,0.6,0.0009370747577835141,0.0001426334461882237,0.968141592920354,1.0,2
6,sce:YPL281C,0.02999800089505102,0.1360366498739072,0.0015320603610527808,0.0015993576419295974,0.16694396534139938,0.16694396534139938,0.000899962957676687,0.009496676163342831,0.8,0.0009952033405841287,0.00384052955195506,0.9663716814159292,1.0,2
7,sce:YDR050C,5.2581698178591306e-05,0.12204733346108185,0.0012245114199127814,0.0011677315742529548,0.1463581584266184,0.1463581584266184,3.453677084907701e-09,0.010446343779677113,0.6545454545454545,0.0015909160061056192,6.688606465061212e-06,0.9663716814159292,1.0,2
8,sce:YER178W,0.1594734862027828,0.15705518805184995,0.011709986299933143,0.010581337287035355,0.20915779113784683,0.20915779113784683,0.02543224792736193,0.029439696106362774,0.6365591397849463,0.0024692629927180318,0.020416051296297432,0.9734513274336283,1.0,2
9,sce:YJR009C,3.805787882878589e-05,0.11897217713166418,0.0006428298177051979,0.0005688652043658116,0.13948953375172649,0.13948953375172649,1.582473171340327e-09,0.005698005698005698,0.7333333333333333,0.0010075882778796258,4.854739976104992e-06,0.9787610619469026,1.0,2
10,sce:YCR012W,9.529397571089589e-05,0.11700674281720556,0.0010770849672910897,0.0010068033285140243,0.13498134277629936,0.13498134277629936,9.085023592775448e-09,0.005698005698005698,0.4666666666666667,0.0011364798872063586,1.2191297661762559e-05,0.9362831858407079,1.0,2
11,sce:YLR134W,0.15887641354896442,0.16354797236237337,0.056852670260408036,0.055922982873080965,0.21602302414268137,0.21602302414268137,0.025242209394361895,0.03323836657169991,0.5126050420168067,0.002998092912355581,0.020339630245579013,0.95929203539823,1.0,2
12,sce:YOR347C,0.1899433709545197,0.16186004636674253,0.058106846331435515,0.05606320411762063,0.2198694626045047,0.2198694626045047,0.03608002614671219,0.04368471035137702,0.4241545893719807,0.0038545486244251003,0.024317154933654044,0.9557522123893806,1.0,2
13,sce:YNL071W,0.05058047729525766,0.14074561083108092,0.006396003457073044,0.007275536029748152,0.18228232409143852,0.18228232409143852,0.0025585535550337055,0.016144349477682812,0.6911764705882353,0.0016555642064567987,0.006475535268868994,0.9557522123893806,1.0,2
14,sce:YPL017C,0.022703164445631887,0.14289824464463796,0.029955027119868877,0.02913920849077302,0.19014609954780662,0.19014609954780662,0.0005150629493145957,0.020892687559354226,0.3116883116883117,0.0025687072651132585,0.00290537533580347,0.9699115044247788,1.0,2
15,sce:YOL086C,0.007308297004645439,0.13778672914746548,0.0,0.0,0.16622541091914111,0.16622541091914111,5.340823425968994e-05,0.005698005698005698,1.0,0.0008590751573508742,0.0009355845071228837,0.9752212389380531,1.0,2
16,sce:YMR318C,0.007390341746319011,0.14691412037235613,0.057071344065353545,0.05550592898073094,0.17853374730155167,0.17853374730155167,5.461133958543985e-05,0.011396011396011397,0.42424242424242425,0.0016120546330224343,0.000946061781850397,0.9557522123893806,1.0,2
17,sce:YPL061W,0.01360272821645877,0.15289913154351412,0.04084812081040714,0.04258852606210081,0.19377747134157136,0.19377747134157136,0.0001849788442360163,0.020892687559354226,0.19047619047619047,0.003114694840630511,0.0017411574546544015,0.9486725663716814,1.0,2
18,sce:YLR153C,0.04518490549967161,0.14317779778055836,0.00803389918661656,0.008124094507029474,0.18250690430177346,0.18250690430177346,0.0020418599272044678,0.016144349477682812,0.6911764705882353,0.0018468326603932063,0.005784835137889722,0.9469026548672567,1.0,2
19,sce:YMR170C,0.012832583451057927,0.14770477826874284,0.017169108250953018,0.0179529430103355,0.18687925981373024,0.18687925981373024,0.00016463149235967743,0.016144349477682812,0.27941176470588236,0.0023256781971034593,0.0016426073270329146,0.9628318584070796,1.0,2
20,sce:YBR019C,3.7263373338126824e-06,0.10179098418937703,0.005001567873008297,0.005005136845453788,0.12577154949842942,0.12577154949842942,3.6883526333876924e-10,0.013295346628679962,0.21978021978021978,0.002549875647396546,4.553039461143395e-07,0.9256637168141593,1.0,2
21,sce:YLR446W,7.027618296439518e-05,0.11994709254110147,0.041037873210533975,0.04059094750599397,0.15537461943738076,0.15537461943738076,1.1184188765137456e-08,0.02849002849002849,0.22988505747126436,0.0044776377395072935,8.894924133489186e-06,0.9787610619469026,1.0,2
