,ec,eigenvector_centrality,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality,local_reach_centrality,subgraph_centrality,degree_centrality,clustering_coefficient,pagerank,hits,ind_set_maximal,damage,class
0,sce:YMR205C,6.677767736558647e-05,0.12004546358473824,0.0020797595893308866,0.001830143846843328,0.14658601435248012,0.14658601435248012,6.920090385166414e-09,0.010446343779677113,0.8727272727272727,0.0015413047934869754,8.483321581612186e-06,0.9695885509838998,1.0,2
1,sce:YBR196C,0.00010812849417466238,0.11842672756013282,0.008391484068397697,0.008009823796997273,0.14818314835702148,0.14818314835702148,1.5564152869192674e-08,0.019943019943019943,0.30952380952380953,0.0032043899737620573,1.376183175551204e-05,0.964221824686941,1.0,1
2,sce:YKR097W,0.050724829422115585,0.14215807892294352,0.0017389463563123799,0.0020393497230791887,0.17828994103922666,0.17828994103922666,0.002573151998942914,0.015194681861348529,0.75,0.0013322964135418136,0.006493988588699206,0.9660107334525939,1.0,2
3,sce:YKL060C,6.177109456665006e-05,0.12453950816590258,0.01047826307028612,0.009690376672439065,0.15210854658441347,0.15210854658441347,5.087492909077704e-09,0.014245014245014245,0.4,0.0020725629359076548,7.844059003036692e-06,0.9677996422182469,1.0,1
4,sce:YLR377C,6.677767736558647e-05,0.12004546358473824,0.0020797595893308866,0.001830143846843328,0.14658601435248012,0.14658601435248012,6.9200903851661824e-09,0.010446343779677113,0.8727272727272727,0.0015413047934869752,8.483321581612186e-06,0.9874776386404294,1.0,2
5,sce:YOL056W,0.0011141089711435362,0.11978349857964335,0.0007895163947425541,0.0009452725283411975,0.1398495198666983,0.1398495198666983,1.2413424993807174e-06,0.004748338081671416,0.6,0.0009370747577835141,0.0001426334461882237,0.9749552772808586,1.0,2
6,sce:YPL281C,0.02999800089505102,0.1360366498739072,0.0015320603610527808,0.0015993576419295974,0.16694396534139938,0.16694396534139938,0.0008999629576766932,0.009496676163342831,0.8,0.0009952033405841287,0.0038405295519550603,0.9856887298747764,1.0,2
7,sce:YDR050C,5.258169817859129e-05,0.12204733346108185,0.0012245114199127812,0.0011677315742529546,0.1463581584266184,0.1463581584266184,3.4536770849094193e-09,0.010446343779677113,0.6545454545454545,0.0015909160061056192,6.6886064650612115e-06,0.9713774597495528,1.0,2
8,sce:YER178W,0.15947348620278276,0.15705518805184995,0.011709986299933143,0.010581337287035354,0.20915779113784683,0.20915779113784683,0.025432247927361932,0.029439696106362774,0.6365591397849463,0.0024692629927180318,0.02041605129629744,0.9785330948121646,1.0,2
9,sce:YJR009C,3.8057878828785886e-05,0.11897217713166418,0.0006428298177051979,0.0005688652043658115,0.13948953375172649,0.13948953375172649,1.5824731713431524e-09,0.005698005698005698,0.7333333333333333,0.0010075882778796258,4.854739976104991e-06,0.9803220035778175,1.0,2
