ORF	Brief ID	Functional Catergories 	Previous deletion	Potential overlap with another gene	Distance to nearest upstream ORF (bp)	Distance to nearest downstream ORF (bp)	Cell Cycle Transcriptional Regulation	Cell cycle transcription profile	Relative transcript abundance (exon1)	Relative transcript abundance (exon2)	Yeart ORF with highest degree of similarity	Similar gene name	Smith-Waterman probability	Smith-Waterman Score	Notes
YAL001C	 RNA polymerase transcription initiation factor TFIIIC	transcription; cellular organization 	lethal	No	1091	63	Yes	S	8	140.6666667	YDR243C	TFC3	4.35E-02	118	
YAL003W	 translation elongation factor eEF1beta	protein synthesis; cellular organization 	lethal	No	840	767	No		1078.222222	3109.222222	YJL115W	TEF5	8.07E-02	105	
YAL025C	 nuclear viral propagation protein	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	420	528	No		610.8888889		YKL172W	MAK16	5.40E-07	171	
YAL032C	 similarity to S.pombe hypothetical  protein SPAC8A4.06	unclassified proteins 	lethal	No	275	108	No		92.11111111						
YAL033W	 protein of unknown function	transcription; cellular organization 	lethal	No	108	605	No		407.5555556						
YAL034W-a	 hypothetical protein	 	no data	Yes	123	-124	Yes	S	98.44444444		YAL034W		5.90E-140	1799	
YAL035C-A		 	no data	Yes	-124	54	No		53.33333333		YAL035C		5.20E-54	741	exclude
YAL038W	 pyruvate kinase	energy; metabolism; cellular organization 	lethal	No	732	2261	No		2693.222222		YOR347C	PYK1	8.60E-188	2388	
YAL041W	 cell division control protein	"signal transduction; cell growth, division, DNA synthesis; cellular organization "	lethal	No	374	277	No		279.4444444		YGR070W	CDC24	9.40E-08	186	
YAL043C	 pre-tRNA processing protein	transcription 	lethal	No	179	212	No		222.8888889		YKR092C	PTA1	1.32E-04	147	
YAL069W	 similarity to lamins	cellular organization 	no data	No	1158	335	Yes	no detectable signal	12.11111111						
YAR007C	 DNA replication factor-A protein 1	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	346	469	Yes	late G1	376.1111111						
YAR008W	 protein of unknown function	transcription; cellular organization 	lethal	No	804	346	Yes	S	296.1111111		YPL216W	FUN4	7.18E-04	132	
YAR019C	 protein kinase of the MAP kinase kinase kinase family	"cell growth, division, DNA synthesis "	lethal	No	1721	511	No		94.44444444		YJL095W	CDC15	1.80E-38	563	
YBR190W	 questionable ORF	unclassified proteins 	no data	Yes	-7	458	No	very low expression	38.22222222						
YBR192W	 mitochondrial carrier protein (MCF)	intracellular transport; transport facilitation; energy; cellular organization 	viable	No	297	512	No		341		YEL006W	RIM2	5.00E-33	491	"Previous knockouts grow slowly on glucose (Van Dyck, E., Jank, B., Ragnini, A., Schweyen, R. J., Duyckaerts, C., Sluse, F., and Foury, F. Overexpression of a novel member of the mitochondrial carrier family rescues defects in both DNA and RNA metabolism in yeast mitochondria. Mol Gen Genet 246, 426-36 (1995))."
YBR193C	 hypothetical protein	transcription; cellular organization 	lethal	No	285	297	No		158.1111111						
YBR196C	 glucose-6-phosphate isomerase	energy; metabolism; cellular organization 	viable	No	1303	354	No		1713.444444						"Gene is required for sporulation.  May only be essential on glucose media (Corominas, J., Clotet, J., Fernandez-Banares, I., Boles, E., Zimmermann, F. K., Guinovart, J. J., and Arino, J. Glycogen   metabolism in a Saccharomyces cerevisiae phosphoglucose isomerase (pgil) disruption mutant. FEBS Lett 310, 182-6 (1992))."
YBR198C	" TFIID subunit (TBP-associated factor), 90 kD"	transcription; cellular organization 	lethal	No	386	271	No		244.2222222		YPR178W	TAF90	2.00E-25	402	
YBR202W	 cell division control protein	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	859	1560	Yes	early G1	349.6666667		YPR019W	CDC47	1.00E-86	1153	
YBR211C	 actin related protein	"cell growth, division, DNA synthesis; cellular organization "	lethal	No	754	180	No		99.22222222		YEL043W	ARP100	1.41E-02	117	
YBR234C	 hypothetical protein	unclassified proteins 	no data	No	309	769	No		384.7777778		YOL138C		1.54E-04	142	
